# DIRECTIVE PARAMETER COMPARE OPTIONAL ADVICE NSAG CCE
ServerSignature|off|s||APACHE_CONF_SERVERSIGNATURE|3.16.3.1|3756-4
ServerTokens|Prod|S||APACHE_CONF_SERVERTOKENS|3.16.3.1|4474-3
Timeout|21|NM||APACHE_CONF_TIMEOUT
HostnameLookups|Off|S||APACHE_CONF_HOSTNAMELOOKUPS
KeepAlive|on|s||APACHE_CONF_KEEPALIVES
KeepAliveTimeout|20|NM||APACHE_CONF_KEEPALIVE_TIMEOUT
MaxKeepAliveRequests|101|NM
TraceEnable|off|s||APACHE_CONF_TRACEENABLE
User|root|snot
Group|root|snot
LimitRequestBody|102400|NM||APACHE_CONF_LIMITREQUESTBODY
LimitRequestFields|101|NM||APACHE_CONF_LIMITREQUESTFIELDS
LimitRequestFieldsize|8191|NM||APACHE_CONF_LIMITREQUESTFIELDSIZE
LimitRequestLine|8191|NM||APACHE_CONF_LIMITREQUESTLINE
LimitXMLRequestBody|1000000|NM|Y
#TODO place it directly in the test FileETag|''|s|Y|APACHE_CONF_FILEETAG
ProxyRequests|off|s|Y|APACHE_CONF_PROXYREQUESTS
