# name of location | nothing = warning , O = just advice , R = just report| ID of ADVICE
/nagios|R|APACHE_VHOSTS_KNOWN_NAME
/awstats|R|APACHE_VHOSTS_KNOWN_NAME
/server-info|R|APACHE_VHOSTS_KNOWN_NAME
/server-status|R|APACHE_VHOSTS_KNOWN_NAME
/ldap-status|R|APACHE_VHOSTS_KNOWN_NAME
/phpmyadmin|R|APACHE_VHOSTS_KNOWN_NAME
/ldapmyadmin|R|APACHE_VHOSTS_KNOWN_NAME
/%00|R|APACHE_VHOSTS_KNOWN_NAME
/~1/|R|APACHE_VHOSTS_KNOWN_NAME
/1/|R|APACHE_VHOSTS_KNOWN_NAME
/10/|R|APACHE_VHOSTS_KNOWN_NAME
/2/|R|APACHE_VHOSTS_KNOWN_NAME
/2532Gigs/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/..%2f..%2f..%2f..%2fboot.ini|R|APACHE_VHOSTS_KNOWN_NAME
/2phpmyadmin/|R|APACHE_VHOSTS_KNOWN_NAME
/3/|R|APACHE_VHOSTS_KNOWN_NAME
/%3f.jsp|R|APACHE_VHOSTS_KNOWN_NAME
/4/|R|APACHE_VHOSTS_KNOWN_NAME
/5/|R|APACHE_VHOSTS_KNOWN_NAME
/6/|R|APACHE_VHOSTS_KNOWN_NAME
/68k/themes/admin/default/modules/show.php|R|APACHE_VHOSTS_KNOWN_NAME
/7/|R|APACHE_VHOSTS_KNOWN_NAME
/8/|R|APACHE_VHOSTS_KNOWN_NAME
/%80../%80../%80../%80../%80../%80../%80../%80../boot.ini|R|APACHE_VHOSTS_KNOWN_NAME
/9/|R|APACHE_VHOSTS_KNOWN_NAME
/a/|R|APACHE_VHOSTS_KNOWN_NAME
/about/|R|APACHE_VHOSTS_KNOWN_NAME
/about.html|R|APACHE_VHOSTS_KNOWN_NAME
/about.php|R|APACHE_VHOSTS_KNOWN_NAME
/about-show.do|R|APACHE_VHOSTS_KNOWN_NAME
/abtpportal/includes/esqueletos/skel_null.php|R|APACHE_VHOSTS_KNOWN_NAME
/acceso/|R|APACHE_VHOSTS_KNOWN_NAME
/access/|R|APACHE_VHOSTS_KNOWN_NAME
/accesswatch/|R|APACHE_VHOSTS_KNOWN_NAME
/acciones/|R|APACHE_VHOSTS_KNOWN_NAME
/account/|R|APACHE_VHOSTS_KNOWN_NAME
/account/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/accounting/|R|APACHE_VHOSTS_KNOWN_NAME
/acid/|R|APACHE_VHOSTS_KNOWN_NAME
/acidcat/main_login.asp|R|APACHE_VHOSTS_KNOWN_NAME
/Acidcat/main_login.asp|R|APACHE_VHOSTS_KNOWN_NAME
/activex/|R|APACHE_VHOSTS_KNOWN_NAME
/acute-cp/|R|APACHE_VHOSTS_KNOWN_NAME
/adaptbb/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/adaptcms/inc/smarty/libs/init.php|R|APACHE_VHOSTS_KNOWN_NAME
/adaptcms/sitemap.xml|R|APACHE_VHOSTS_KNOWN_NAME
/addrbook/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/addressbook/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/address/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/add_url.htm|R|APACHE_VHOSTS_KNOWN_NAME
/adframe.php|R|APACHE_VHOSTS_KNOWN_NAME
/adm/|R|APACHE_VHOSTS_KNOWN_NAME
/admcgi/|R|APACHE_VHOSTS_KNOWN_NAME
/admentor/|R|APACHE_VHOSTS_KNOWN_NAME
/admidio/adm_program/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/admin|R|APACHE_VHOSTS_KNOWN_NAME
/~admin/|R|APACHE_VHOSTS_KNOWN_NAME
/admin_/|R|APACHE_VHOSTS_KNOWN_NAME
/admin/|R|APACHE_VHOSTS_KNOWN_NAME
/admin/admin.php|R|APACHE_VHOSTS_KNOWN_NAME
/admin/aindex.htm|R|APACHE_VHOSTS_KNOWN_NAME
/admin.back/|R|APACHE_VHOSTS_KNOWN_NAME
/admin-bak/|R|APACHE_VHOSTS_KNOWN_NAME
/admin/config.php|R|APACHE_VHOSTS_KNOWN_NAME
/admin/db/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/Admin_files/|R|APACHE_VHOSTS_KNOWN_NAME
/adming/|R|APACHE_VHOSTS_KNOWN_NAME
/admin/index.php|R|APACHE_VHOSTS_KNOWN_NAME
/administration/|R|APACHE_VHOSTS_KNOWN_NAME
/Administration/|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/admin/|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/admin/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/db/|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/dbadmin/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/db/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/myadmin/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/mysql-admin/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/mysqladmin/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/mysql/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/mysqlmanager/main.php|R|APACHE_VHOSTS_KNOWN_NAME
/administrator/phpmanager/main.php|R|APACHE_VHOSTS_KNOWN_NAME
