# name of service | nothing = warning , O = just advice , R = just report| ID of ADVICE
chargen-stream||XINETD_SERVICES_USELESS
chargen-dgram||XINETD_SERVICES_USELESS
chargen||XINETD_SERVICES_USELESS
daytime-stream||XINETD_SERVICES_USELESS
daytime-dgram||XINETD_SERVICES_USELESS
daytime||XINETD_SERVICES_USELESS

discard-stream||XINETD_SERVICES_USELESS
discard-dgram||XINETD_SERVICES_USELESS
discard||XINETD_SERVICES_USELESS

echo-stream||XINETD_SERVICES_USELESS
echo-dgram||XINETD_SERVICES_USELESS
echo||XINETD_SERVICES_USELESS

tcpmux-server||XINETD_SERVICES_USELESS

time-stream||XINETD_SERVICES_USELESS
time-dgram||XINETD_SERVICES_USELESS
time||XINETD_SERVICES_USELESS

telnetd||XINETD_SERVICES_USELESS

finger||XINETD_SERVICES_USELESS
fingerd||XINETD_SERVICES_USELESS
systat||XINETD_SERVICES_USELESS
sysstat||XINETD_SERVICES_USELESS
netstat||XINETD_SERVICES_USELESS
rusers||XINETD_SERVICES_USELESS

gssftp||XINETD_SERVICES_USELESS
klogin||XINETD_SERVICES_USELESS
ekrb5-telnet||XINETD_SERVICES_USELESS
eklogin||XINETD_SERVICES_USELESS
krb5-telnet||XINETD_SERVICES_USELESS
kshell||XINETD_SERVICES_USELESS
rsync|O|XINETD_SERVICES_OPTIONAL

cvspserver|O|XINETD_SERVICES_OPTIONAL
rexec||XINETD_SERVICES_USELESS
rexecd||XINETD_SERVICES_USELESS
rlogin||XINETD_SERVICES_USELESS
rsh||XINETD_SERVICES_USELESS
svnserve|O|XINETD_SERVICES_OPTIONAL
ftp-sensor|O|XINETD_SERVICES_OPTIONAL
ident|O|XINETD_SERVICES_OPTIONAL
comsat|O|XINETD_SERVICES_OPTIONAL

bootp||XINETD_SERVICES_USELESS
ftpd||XINETD_SERVICES_USELESS
tftpd||XINETD_SERVICES_USELESS

talk||XINETD_SERVICES_USELESS

amanda|R|
